name,system
"'[club80949945|Администрация города Лысьвы], по улице Дзержинского ездить невозможно, трактор ездит раз в неделю, но колеи не срезает, правильно пишут, ковш не опускает.",Дороги
"'А моём детстве хоккейная коробка была во многих дворах, заливался стадион за 97школой (ныне 5 гимназия), сейчас увы. В нашем микрорайоне только платные Труд.Резервы, стадион за школой Точка завален снегом, так как покрытие не предназначено для зимних видов спорта, коробка хоккейная на Крупской,67-69 разрушена, заливать некому, восстанавливать никто не хочет. НО я на 200% уверена, что и стадион без снега пользовался бы огромным спросом, и хоккейная коробка залитая была бы заполнена на 100%. Но увы. Кругом проекты и показуха. Языками чешут, дела подождут. Главное послания, обещания. Сегодня в Пермских новостях: В Перми может появиться городской прокат велосипедов за 39млн,(А может и не появиться), и след.новость- Пермь может принять беженцев -(а МОЖЕТ и не принять). мы просто заржали с мужем в голос - а может построят зоопарк, а может построят восьмой мост, а может построят аквапарк, а может. Трепло, однако.",Физическая культура и спорт
"'Уже месяц не могу поставить прививку ребёнку. Гоняют из кабинета в кабинет. Из поликлиники в поликлинику. Сначала на Соловьева, 3 ходили по кабинетам. С третьего раза сообщили, что надо ехать в поликлинику на Вижайскую, 15. Даже не сказали, что она переехала. зато сказали часы приёма, с 10 до 14 часов и прививки ставятся в порядке живой очереди. Приехали в 11 часов. Все двери закрыты. Работает только ренткабинет. Врач объяснила, что необходимо обращаться на Лодыгина, 47а. Пошли туда. В регистратуре сказали, что необходимо записаться в очередь. Записались. В назначенный день, 14 февраля, в назначенный час, 14-10мин. приехали. Оказалось, что у них некому ставить прививки и вообще у них закончилась вакцина.",Коронавирус
'Здравствуйте я хотела бы узнать я оформила единовременную выплату так как отец мобилизован 25 числа когда будет выплата?,Мобилизация
"'В Октябрьском районе давно уже нет кардиолога, и направить к кардиологу в Пермь никто не может",Здравоохранение/Медицина
'Здравствуйте,Здравоохранение/Медицина
'На спортивной площадке в п сверлова когда будут заканчивать футбольное поле,Физическая культура и спорт
"'Полномаштабные программы - снег на окраинах города чистили бы полномаштабно, а то к дому с остановки не пройти👎🏻",Дороги
"'Уважаемая администрация, озвучьте пожалуйста, когда у нас в городе начнет действовать отлов? Сегодня ночью и утром, выше Грибоедова 16 было просто звуковое представление из собак. Лай дикий, грызутся между собой, гуляет сука, и ощущение, буд-то собаки со всего города там собрались. Утром детям в школу - а собак просто свора. Два года город без отлова - когда же будут действия?",Безопасность
"'Здравствуйте! Подскажите пожалуйста имеют ли право учителя, за контрольные и проверочные работы ставить в журнал 2, если ребенок учится по адаптированной программе в 6 классе!!!",Образование
"'Здравствуйте, пожалуйста подскажите, что делать управляющая компания, обслуживающая ул. Микова,6 заявления на ремонт кровли уже не первый год подаются и в письменном виде и заявки на телефон, результатов никаких с апреля звоним еженедельно, мастер постоянно говорит, что придут в конце недели сколько уже можно. Про все остальные виды ремонта дома даже говорить не хочется: фундамент разваливается на части, входная группа в подъезде сгнили полы (своими силами как могли сделали), стены рушатся все в трещинах. И ПРИ ВСЕМ ЭТОМ ДОМ НЕ АВАРИЙНЫЙ, КАК ТАК? А вот такое даже не выкладывают🤔",ЖКХ
"'Добрый день, продала квартиру в октябре оставленную в наследство, договор не перезаключала, новый собственник сразу перезаключил договор, но квитанции приходят опять на бывшего собственника и его лицевой счет, все платежи перед продажей были погашены, новый собственник отказывается платить по старому лицевому счету, что делать теперь?",Мусор/Свалки/ТКО
',Мусор/Свалки/ТКО
'Я подтверждаю,Благоустройство
"'Здравствуйте, 25 января взяли на дому тест на ковид, оказался положительный, со мной проживает мать инвалид 1гр, тоже более. Обещали что приедет ковид бригада и привезёт лекарства, когда её ждать?",Коронавирус
"'Ни качели, ни покрытие детской площадки не соответствуют нормам. Экстремально опасная детская площадка. Про то, что мы все детство качались на таких и ещё солнышком крутились-рассказывать не обязательно. С 2013г ГОСТы другие.",Благоустройство
"'Вот такая сауна у нас в подъезде, хоть билеты продавай в парилку.<br>Единая управляющая компания не сделали ничего, чтобы решить проблему с утечкой системы отопления. Аварийная служба так же, на вызовы не реагирует.<br>В квартирах дубак, в подъезде идешь на ощупь, ужасная влажность.<br>Наши деньги, в виде горячей воды, утекают в никуда!",ЖКХ
